Microbe_ID	M1	M2	M3	M4	M5	M7	M8	M9	M10	M11	M13	M14	M15A	M15B	M16
Actinomyces_odontolyticus_ATCC_17982	0	1	1	1	1	1	1	0	0	1	0	0	0	0	0
Akkermansia_muciniphila_ATCC_BAA_835	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0
Alistipes_putredinis_DSM_17216	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Alistipes_shahii_WAL_8301	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteroides_caccae_ATCC_43185	0	1	0	0	1	1	1	0	0	0	1	0	0	0	0
Bacteroides_clarus_YIT_12056	0	1	0	0	1	1	1	0	0	1	1	1	0	0	0
Bacteroides_coprocola_M16_DSM_17136	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteroides_dorei_DSM_17855	0	1	1	1	1	1	1	0	0	1	0	1	0	0	0
Bacteroides_eggerthii_DSM_20697	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0
Bacteroides_fragilis_3_1_12	0	1	0	0	1	0	1	0	0	0	1	0	0	0	0
Bacteroides_fragilis_CL03T00C08	0	1	1	1	1	1	1	0	0	1	1	0	0	0	0
Bacteroides_fragilis_CL03T12C07	0	1	1	1	1	1	1	0	0	1	1	0	0	0	0
Bacteroides_fragilis_CL05T00C42	0	1	1	1	1	1	1	0	0	1	1	0	0	0	0
Bacteroides_fragilis_CL05T12C13	0	1	1	1	1	1	1	0	1	1	1	0	0	0	0
Bacteroides_fragilis_CL07T00C01	0	1	1	1	1	1	1	0	0	1	1	0	0	0	0
Bacteroides_fragilis_CL07T12C05	0	1	1	1	1	1	1	0	0	1	1	0	0	0	0
Bacteroides_fragilis_NCTC_9343	0	1	1	1	1	1	1	0	1	1	1	1	0	0	0
Bacteroides_ovatus_ATCC_8483	0	1	0	0	1	0	1	0	0	1	1	1	0	0	0
Bacteroides_stercoris_CC31F	0	0	0	0	1	0	1	0	0	1	0	1	0	0	0
Bacteroides_thetaiotaomicron_VPI_5482	0	1	1	1	1	1	1	0	1	1	1	0	0	0	0
Bacteroides_uniformis_ATCC_8492	0	0	0	1	1	0	0	0	1	0	1	1	0	0	0
Bacteroides_uniformis_CL03T00C23	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0
Bacteroides_uniformis_CL03T12C37	0	0	0	0	1	0	1	0	0	0	1	1	0	0	0
Bacteroides_vulgatus_ATCC_8482	0	1	1	1	1	1	1	0	1	1	0	1	0	0	0
Bacteroides_vulgatus_CL09T03C04	1	1	1	1	1	1	1	0	0	1	1	1	0	0	0
Bacteroides_xylanisolvens_CL03T12C04	0	1	1	1	1	1	1	0	0	1	1	1	0	0	0
Bifidobacterium_adolescentis_ATCC_15703	0	1	1	1	1	1	1	0	1	1	0	1	0	0	0
Bifidobacterium_animalis_lactis_Bi_07	0	1	1	1	1	1	1	0	1	1	0	0	0	0	0
Bifidobacterium_animalis_lactis_Bl_04_ATCC_SD5219	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bifidobacterium_longum_longum_JCM_1217	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0
Bifidobacterium_longum_infantis_ATCC_15697	1	1	1	1	1	0	1	0	1	1	1	1	0	0	0
Bilophila_wadsworthia_ATCC_49260	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Blautia_hansenii_VPI_C7_24_DSM_20583	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0
Blautia_obeum_ATCC_29174	0	1	0	0	1	0	0	0	1	0	0	1	0	0	0
Butyrivibrio_crossotus_DSM_2876	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Clostridium_bolteae_ATCC_BAA_613	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Clostridioides_difficile_630	0	1	1	1	1	1	1	1	0	1	0	1	0	0	0
Clostridium_leptum_DSM_753	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Clostridium_perfringens_ATCC_13124	0	1	1	1	1	1	1	1	1	1	0	1	0	0	0
Clostridium_ramosum_VPI_0427_DSM_1402	0	1	1	1	1	1	1	0	1	1	0	0	0	0	0
Clostridium_saccharolyticum_WM1	1	1	1	1	1	1	1	0	1	1	0	0	0	0	0
Collinsella_aerofaciens_ATCC_25986	0	1	1	0	1	1	1	0	1	1	0	0	0	0	0
Coprococcus_comes_ATCC_27758	0	1	1	1	1	1	1	1	1	1	0	1	0	0	0
Desulfovibrio_piger_ATCC_29098	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dorea_formicigenerans_ATCC_27755	1	1	1	1	1	1	1	0	1	1	0	1	0	0	0
Eggerthella_lenta_DSM_2243	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Escherichia_coli_CFT073	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0
Escherichia_coli_ED1a	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0
Escherichia_coli_ETEC_H10407	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0
Escherichia_coli_HM605	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0
Escherichia_coli_IAI1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0
Escherichia_coli_O127_H6_str_E2348_69	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0
Escherichia_coli_UTI89_UPEC	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0
Eubacterium_eligens_ATCC_27750	0	1	1	1	1	1	1	0	1	1	0	1	0	0	0
Eubacterium_limosum_DSM_20543	1	0	1	1	1	1	1	0	0	1	0	0	0	0	0
Eubacterium_siraeum_DSM_15702	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fusobacterium_nucleatum_subsp_animalis_ATCC_51191	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fusobacterium_nucleatum_subsp_nucleatum_ATCC_25586	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0
Fusobacterium_nucleatum_subsp_vincentii_ATCC_49256	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Haemophilus_parainfluenzae_ATCC_33392	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Lactobacillus_acidophilus_NCFM	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lactobacillus_delbrueckii_subsp_delbrueckii_DSM_20074	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lactobacillus_fermentum_ATCC_14931	0	1	1	0	1	1	1	0	1	0	0	0	0	0	0
Lactobacillus_gasseri_ATCC_33323	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lactobacillus_paracasei_LPC_37	0	1	1	1	1	1	1	1	1	0	0	0	0	0	0
Lactobacillus_plantarum_WCFS1	0	1	1	1	1	1	1	0	1	1	0	0	0	0	0
Lactobacillus_ruminis_DSM_20403_NBRC_102161	0	1	1	0	1	1	1	0	0	0	0	0	0	0	0
Lactobacillus_sakei_subsp_sakei_DSM_20017_JCM_1157	0	1	1	0	1	1	1	0	0	0	0	0	0	0	0
Lactobacillus_salivarius_HO66_ATCC_11741	0	1	1	1	1	1	1	0	1	0	0	0	0	0	0
Lactobacillus_vaginalis_ATCC_49540	0	0	1	0	0	1	1	0	1	0	0	0	0	0	0
Lactococcus_lactis_subsp_lactis_Il1403	0	1	1	1	1	1	1	0	1	1	0	1	0	0	0
Odoribacter_splanchnicus_1651_6_DSM_20712	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Parabacteroides_distasonis_ATCC_8503	0	0	1	1	1	1	1	0	0	1	0	0	0	0	0
Parabacteroides_merdae_ATCC_43184	0	0	1	0	1	0	1	0	0	1	1	0	0	0	0
Prevotella_copri_CB7_DSM_18205	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Prevotella_melaninogenica_ATCC_25845	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pseudoflavonifractor_capillosus_strain_ATCC_29799	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Roseburia_hominis_A2_183	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Roseburia_intestinalis_L1_82	0	1	1	0	1	0	1	0	0	1	0	0	0	0	0
Ruminococcus_bromii_ATCC_27255	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ruminococcus_gnavus_ATCC_29149	0	1	1	1	1	1	1	0	1	1	0	0	0	0	0
Ruminococcus_torques_ATCC_27756	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0
Salmonella_enterica_enterica_sv_Typhimurium_LT2	1	1	1	1	1	1	1	0	1	1	1	1	0	0	0
Salmonella_enterica_subsp_enterica_serovar_Typhimurium_ATCC_14028	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0
Shigella_flexneri_2a_str_301	0	1	1	1	1	1	1	0	1	1	1	1	0	0	0
Shigella_sonnei_53G	0	1	1	1	1	1	1	1	1	1	1	1	0	0	0
Streptococcus_parasanguinis_ATCC_15912	0	1	1	1	1	1	1	0	1	1	0	1	0	0	0
Streptococcus_salivarius_DSM_20560	0	1	1	1	1	1	1	0	1	1	1	1	0	0	0
Veillonella_parvula_Te3_DSM_2008	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Vibrio_cholerae_A1552	0	1	1	1	1	1	1	0	1	1	1	1	0	0	0
Vibrio_cholerae_O1_biovar_El_Tor_str_N16961	1	1	1	1	1	1	1	0	1	1	1	1	0	0	0
Yersinia_pseudotuberculosis_YPIII	0	1	0	0	1	1	0	0	0	0	1	0	0	0	0
